Symbol_1,periodOfReport,employeeCount
BLKB.SW,,
BLKB.SW,,
BLKB.SW,,
BSKP.SW,,
BSKP.SW,,
BSKP.SW,,
BSKP.SW,,
BSKP.SW,,
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAX,2023-12-31,60000
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BAYN.DE,,
BBVA.MC,,
BCE.TO,,
BEZ.L,,
BEZ.L,,
BDX,2024-09-30,74000
BDX,2024-09-30,74000
BDX,2024-09-30,74000
BEKN.SW,,
BEKN.SW,,
BEKN.SW,,
BEKN.SW,,
unknown,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
PROX.BR,,
BEN.AX,,
BEN.AX,,
BEN.AX,,
BEN.AX,,
BBY,2024-02-03,85000
BBY,2024-02-03,85000
BBY,2024-02-03,85000
unknown,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BG/.L,,
BHP.AX,,
BHP.AX,,
BB.PA,,
BB.PA,,
BB.PA,,
BB.PA,,
BB.PA,,
unknown,,
BIIB,2022-12-31,8725
BIIB,2022-12-31,8725
BIIB,2022-12-31,8725
BIIB,2022-12-31,8725
BIIB,2022-12-31,8725
BIIB,2022-12-31,8725
BIIB,2022-12-31,8725
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
BNP.PA,,
BMW.DE,,
BMW.DE,,
BMW.DE,,
BMW.DE,,
BMW.DE,,
BMW.DE,,
BMW.DE,,
BON.PA,,
BON.PA,,
BON.PA,,
BON.PA,,
BON.PA,,
BON.PA,,
BON.PA,,
BA,2024-12-31,58000
BOL.ST,,
BOL.ST,,
BOL.ST,,
1015Z.L,,
1015Z.L,,
1015Z.L,,
BP.L,,
EN.PA,,
EN.PA,,
EN.PA,,
EN.PA,,
EN.PA,,
EN.PA,,
EN.PA,,
BVS.L,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BRKM3.SA,,
BMY,,
BMY,,
8179618Q.L,,
8179618Q.L,,
8179618Q.L,,
8179618Q.L,,
8179618Q.L,,
8179618Q.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BATS.L,,
BLND.L,,
BLND.L,,
BLND.L,,
BLND.L,,
BLND.L,,
BLND.L,,
BLND.L,,
BLND.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
SKY.L,,
BRCM,,
BRCM,,
BR,2024-06-30,14600
BR,2024-06-30,14600
BR,2024-06-30,14600
BAM-A.TO,,
BF-A,2024-04-30,5700
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BT-A.L,,
BNZL.L,,
BNZL.L,,
BNZL.L,,
unknown,,
BRBY.L,,
BRBY.L,,
BRBY.L,,
BRBY.L,,
BRBY.L,,
BWP.AX,,
BWP.AX,,
BVI.PA,,
BVI.PA,,
BVI.PA,,
unknown,,
unknown,,
unknown,,
BZU.MI,,
BZU.MI,,
BZU.MI,,
BZU.MI,,
BZU.MI,,
CA,,
CA,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
GCC.L,,
CNE.L,,
CXGD.LS,,
CXGD.LS,,
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CPB,2024-07-28,14400
CNR.TO,,
CP.TO,,
CTC.TO,,
CTC.TO,,
CTC.TO,,
CTC.TO,,
CTC.TO,,
CTC.TO,,
CM.TO,,
CM.TO,,
7751.T,,
7751.T,,
7751.T,,
7751.T,,
7751.T,,
7751.T,,
7751.T,,
7751.T,,
7751.T,,
COF,2023-12-31,51987
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
CAP.PA,,
3091Z,,
CAH,2024-06-30,48900
CLLN.L,,
CLLN.L,,
CLLN.L,,
unknown,,
unknown,,
unknown,,
unknown,,
CCL,2024-11-30,160000
CCL,2024-11-30,160000
CCL,2024-11-30,160000
CCL,2024-11-30,160000
CCL,2024-11-30,160000
CA.PA,,
CBG,,
CBG,,
CBG,,
CBG,,
CBG,,
CBG,,
CBG,,
CO.PA,,
CO.PA,,
CO.PA,,
CO.PA,,
CO.PA,,
CO.PA,,
CO.PA,,
CO.PA,,
CO.PA,,
CO.PA,,
6952.T,,
6952.T,,
CYT.TO,,
CYT.TO,,
CYT.TO,,
0293.HK,,
CGL.L,,
CGL.L,,
CGL.L,,
CCL-A.TO,,
CCL-A.TO,,
CCL-A.TO,,
CCL-A.TO,,
CELG,2018-12-31,8852
CELG,2018-12-31,8852
CEMEXCPO.MX,,
CEMEXCPO.MX,,
CEMEXCPO.MX,,
CNP,,
ELET6.SA,,
ELET6.SA,,
ELET6.SA,,
ELET6.SA,,
CLSC4.SA,,
CNA.L,,
CNA.L,,
CNA.L,,
CNA.L,,
CNA.L,,
CNA.L,,
CNA.L,,
CNA.L,,
CNA.L,,
CEQ.OL,,
unknown,,
NVN.AX,,
NVN.AX,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
028260.KS,,
CVX,2023-12-31,45600
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
3481.TW,,
2002.TW,,
2002.TW,,
2002.TW,,
2002.TW,,
2002.TW,,
2002.TW,,
2002.TW,,
2002.TW,,
CMIG3.SA,,
CMIG3.SA,,
CMIG3.SA,,
CMIG3.SA,,
CMIG3.SA,,
CESP3.SA,,
CESP3.SA,,
CESP3.SA,,
CESP3.SA,,
PCAR3.SA,,
PCAR3.SA,,
PCAR3.SA,,
PCAR3.SA,,
2412.TW,,
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CSCO,2024-07-27,90400
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIE.MC,,
CIEN,2024-11-02,8657
CI,2023-12-31,72500
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
C,2023-12-31,239000
CIT,,
CLN.SW,,
CLN.SW,,
CLN.SW,,
CLASB.ST,,
CLASB.ST,,
CLASB.ST,,
0002.HK,,
0002.HK,,
CLX,2024-06-30,8000
CLX,2024-06-30,8000
CU.PA,,
COB.L,,
COB.L,,
COB.L,,
CMS,2023-12-31,8356
CMS,2023-12-31,8356
CNP.PA,,
CNP.PA,,
CNP.PA,,
CNP.PA,,
CNP.PA,,
CNP.PA,,
CNP.PA,,
CNP.PA,,
CL,2023-12-31,34000
CCL.AX,,
CCL.AX,,
CCL.AX,,
COLBUN.SN,,
COLBUN.SN,,
COLBUN.SN,,
COLBUN.SN,,
COLBUN.SN,,
COLBUN.SN,,
COLBUN.SN,,
KO,2023-12-31,79100
KO,2023-12-31,79100
KO,2023-12-31,79100
KO,2023-12-31,79100
KO,2023-12-31,79100
CCE,,
CCE,,
CCE,,
CCE,,
CCE,,
CCE,,
CCE,,
CCE,,
CCE,,
CCE,,
CCA.TO,,
CCA.TO,,
CTSH,2023-12-31,347700
CTSH,2023-12-31,347700
CBK.DE,,
CBK.DE,,
CBK.DE,,
CBK.DE,,
COLOB.CO,,
COLOB.CO,,
COLOB.CO,,
COLOB.CO,,
COLOB.CO,,
COLOB.CO,,
COLT.L,,
COLT.L,,
