Symbol_1,environmentalScore,socialScore,governanceScore,ESGScore
SGSN.SW,,,,
SHB.L,,,,
6753.T,,,,
1803.T,,,,
4063.T,,,,
SHW,53.36,54.16,60.51,56.01
4911.T,,,,
055550.KS,,,,
SIAL,,,,
SRCM.BO,,,,
SIE.DE,,,,
SIK.SW,,,,
2325.TW,,,,
SHI.L,,,,
SPG,48.39,53.61,51.63,51.21
017670.KS,,,,
SKAB.ST,,,,
SNC.TO,,,,
SN.L,,,,
SRG.MI,,,,
SKG.L,,,,
SOLB.BR,,,,
GLE.PA,,,,
SW.PA,,,,
SWVK.DE,,,,
SOLARB.CO,,,,
010950.KS,,,,
MEL.MC,,,,
SON.LS,,,,
SNC.LS,,,,
6758.T,,,,
SOON.SW,,,,
8630.T,,,,
LUV,69.6,62.84,77.98,70.14
SE,63.66,98.44,77.19,79.76
S,78.01,57.33,67.73,67.69
SDY.L,,,,
SL/.L,,,,
STAN.L,,,,
STJ.L,,,,
SGC.L,,,,
SBK.JO,,,,
SBUX,70.23,70.71,72.11,71.02
HOT,57.25,73.82,71.23,67.43
SPLS,60.19,76.7,70.21,69.03
SWK,62.55,59.89,65.61,62.69
STN.TO,,,,
STT,74.75,73.44,66.22,71.47
SGP.AX,,,,
STLT.BO,,,,
SCS,71.17,68.25,72.48,70.63
STB.OL,,,,
STMN.SW,,,,
8053.T,,,,
SEV.PA,,,,
4005.T,,,,
SUN.SW,,,,
5802.T,,,,
SLF.TO,,,,
5110.T,,,,
5713.T,,,,
1911.T,,,,
6302.T,,,,
SU.TO,,,,
SDL.AX,,,,
0019.HK,,,,
SHBA.ST,,,,
SWEDA.ST,,,,
SWMA.ST,,,,
SYR.L,,,,
SREN.SW,,,,
SLHN.SW,,,,
SCMN.SW,,,,
SYMC,,,,
SY1.DE,,,,
SYNN.SW,,,,
SYY,73.17,69.47,79.48,74.04
TROW,56.39,63.36,70.16,63.3
1801.T,,,,
2330.TW,,,,
TPWR.BO,,,,
TCS.BO,,,,
TTCH.BO,,,,
TLV1V.HE,,,,
4502.T,,,,
TGT,64.15,62.86,69.16,65.39
TATA.BO,,,,
TATE.L,,,,
TW.L,,,,
TDC.CO,,,,
TECHM.BO,,,,
TRE.MC,,,,
TEKNF,,,,
SPK.NZ,,,,
3401.T,,,,
TEF.MC,,,,
TLAB,,,,
TELIA.ST,,,,
TKA,,,,
TEL.OL,,,,
TKG.JO,,,,
TLS.AX,,,,
T.TO,,,,
TER,50.7,64.37,67.45,60.84
TSCO.L,,,,
TRN.MI,,,,
HO.PA,,,,
HSY,71.88,63.55,71.84,69.09
SPP.JO,,,,
WBC.AX,,,,
TIMP3.SA,,,,
TRI.TO,,,,
TKA.DE,,,,
TCH.PA,,,,
TBS.JO,,,,
TWX,,,,
TJX,59.89,66.79,65.27,63.98
X.TO,,,,
1860.T,,,,
TNTE.AS,,,,
3289.T,,,,
TOL.AX,,,,
8035.T,,,,
8766.T,,,,
9531.T,,,,
6502.T,,,,
TOM.OL,,,,
TON.JO,,,,
TOP.CO,,,,
7911.T,,,,
TD.TO,,,,
3402.T,,,,
FP.PA,,,,
5332.T,,,,
3101.T,,,,
6201.T,,,,
7203.T,,,,
TRP.TO,,,,
TCL-A.TO,,,,
TPK.L,,,,
TNI.L,,,,
TCW.TO,,,,
TRELB.ST,,,,
4540.T,,,,
TRU.JO,,,,
TRYG.CO,,,,
UBI.MI,,,,
UAL,62.7,46.78,61.35,56.95
TT/.L,,,,
USB,48.79,66.89,55.85,57.18
TUI.L,,,,
UL.PA,,,,
8113.T,,,,
UCG.MI,,,,
UIS,70.59,60.23,65.3,65.37
ULVR.L,,,,
UTG.L,,,,
UNP,71.44,65.68,74.76,70.63
UNI.MI,,,,
UU.L,,,,
UNH,72.31,59.23,69.65,67.07
UTX,64.99,66.93,63.98,65.3
UBM.L,,,,
2303.TW,,,,
UPS,65.43,62.32,83.01,70.25
X,51.99,50.32,69.78,57.36
UNM,51.23,59.48,56.58,55.76
VALE3.SA,,,,
VK.PA,,,,
VIE.PA,,,,
VER,58.26,70.71,78.47,69.15
VED.L,,,,
VEI.OL,,,,
VZ,75.81,57.35,70.57,67.91
VWS.CO,,,,
VID.MC,,,,
DG.PA,,,,
2588Z.L,,,,
VC,73.9,67.75,77.88,73.18
VONN.SW,,,,
VOW3.DE,,,,
VOD.L,,,,
VIV.PA,,,,
WALMEX*.MX,,,,
VWR,42.61,63.88,69.91,58.8
WCH.DE,,,,
DIS,59.65,60.68,75.53,65.29
WMT,70.83,54.22,54.82,59.96
WRT1V.HE,,,,
WHS.NZ,,,,
WM,70.79,58.4,73.51,67.57
WFT,,,,
WAT,61.78,66.81,78.45,69.01
WEGE3.SA,,,,
WEIR.L,,,,
WFC,73.54,66.43,62.14,67.37
WHA.AS,,,,
WES.AX,,,,
ANTM,77.11,67.63,71.2,71.98
9021.T,,,,
SMWH.L,,,,
WY,68.71,79.68,76.41,74.93
WFD.AX,,,,
WHR,64.38,70.78,72.03,69.06
WTB.L,,,,
1415258Z.L,,,,
WFM,80.88,80.53,73.81,78.41
WOS.L,,,,
WKL.AS,,,,
WBO.JO,,,,
WPRO.BO,,,,
WPL.AX,,,,
WHL.JO,,,,
WOW.AX,,,,
WPP.L,,,,
WKP.L,,,,
8176888Z,,,,
0321382Z,,,,
XRX,78.42,62.89,69.98,70.43
XEL,65.97,74.63,75.25,71.95
XCH.L,,,,
WSP.TO,,,,
WYN,,,,
6845.T,,,,
7951.T,,,,
YRI.TO,,,,
AABA,65.2,58.29,61.97,61.82
YUM,52.67,60.27,63.12,58.69
YES.BO,,,,
5101.T,,,,
AKENR.IS,,,,
CCOLA.IS,,,,
GARAN.IS,,,,
HALKB.IS,,,,
TSKB.IS,,,,
