Symbol_1,date,environmentalScore,socialScore,governanceScore,ESGScore
ELET6.SA,,,,,
CLSC4.SA,,,,,
CNA.L,,,,,
CNA.L,,,,,
CNA.L,,,,,
CNA.L,,,,,
CNA.L,,,,,
CNA.L,,,,,
CNA.L,,,,,
CNA.L,,,,,
CNA.L,,,,,
CEQ.OL,,,,,
unknown,,,,,
NVN.AX,,,,,
NVN.AX,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
028260.KS,,,,,
